date,gas_price,cpi,fafh_cpi,real_dpi,rest_less_grocery_yoy,unemployment,sentiment,real_rest_spend,qsr_traffic,casual_traffic,real_gas,cum_inflation,real_gas_yoy,real_rest_spend_yoy,real_dpi_yoy,gas_x_cuminflation,real_gas_yoy_lag1,real_gas_yoy_lag3,real_gas_yoy_lag6,rest_gro_spread_level
1995-08-01,1.123,152.9,149.4,8193.0,-9.906001480231019e-05,0.057,96.2,11988.621151271755,,,1.8776837873337695,52.52986009617581,-0.0525058111716058,0.024686482700966073,0.03520165773779449,-2.7581229150806776,0.014682217097732098,0.0910921093861361,0.03383071245470659,97.71092217135383
1995-09-01,1.111,153.1,149.6,8219.4,-0.004942260324365844,0.055999999999999994,88.9,11169.786096256685,,,1.8551928156978013,52.600181194028785,-0.05295056021705247,0.012790081414492338,0.03401685746634797,-2.7852090617422918,-0.0525058111716058,0.07310125195389516,0.03465398505081052,97.7139124755062
1995-10-01,1.087,153.5,150.0,8228.4,-0.007068473367707329,0.055,90.2,11207.333333333334,,,1.8103866976112921,52.74082338973475,-0.05029970935502559,-0.008907520386590151,0.02542246149244809,-2.6528480876483935,-0.05295056021705247,0.014682217097732098,0.049010061668289584,97.71986970684038
1995-11-01,1.062,153.7,150.2,8250.5,-0.006392501662031869,0.055999999999999994,88.2,10669.107856191746,,,1.7664479082628501,52.811144487587725,-0.0725334228807688,0.0015507310966544896,0.028240631114545334,-3.830573075935583,-0.05029970935502559,-0.0525058111716058,0.0910921093861361,97.72283669486012
1995-12-01,1.071,153.9,150.4,8261.3,0.0020671197807995423,0.055999999999999994,91.0,11323.13829787234,,,1.7791027729044833,52.881465585440715,-0.04257052653019677,-0.005413719700829378,0.024949753107863293,-2.2511918336606915,-0.0725334228807688,-0.05295056021705247,0.07310125195389516,97.72579597141001
1996-01-01,1.09,154.7,150.6,8272.1,-0.004820978594965997,0.055999999999999994,89.3,10046.480743691898,,,1.8013013305322132,52.95178668329369,-0.01995634027818427,-0.008269982842093682,0.023015087806084633,-1.0567238733896354,-0.04257052653019677,-0.05029970935502559,0.014682217097732098,97.34970911441499
1996-02-01,1.089,155.0,150.9,8335.8,-0.002016006957632266,0.055,88.5,10444.66534128562,,,1.7961655693548388,53.05726833007316,-0.011934581967952274,0.05598507046630408,0.02885707232782031,-0.6332163178808964,-0.01995634027818427,-0.0725334228807688,-0.0525058111716058,97.35483870967742
1996-03-01,1.137,155.5,151.2,8362.4,-0.013738489482229221,0.055,93.7,11455.687830687832,,,1.8693053842443732,53.162749976852616,0.031304890339300284,0.020135510627663722,0.029319809950518083,1.66425405816101,-0.011934581967952274,-0.04257052653019677,-0.05295056021705247,97.2347266881029
1996-04-01,1.231,156.1,151.6,8311.8,-0.005992596660380212,0.055999999999999994,92.7,11187.335092348287,,,2.016068738522315,53.30339217255858,0.07748904294657533,-1.097330163879473e-05,0.030729166666666474,4.130428845257539,0.031304890339300284,-0.01995634027818427,-0.05029970935502559,97.11723254324151
1996-05-01,1.278,156.4,152.0,8416.8,-0.0026745929957343595,0.055999999999999994,89.4,11900.0,,,2.0890281425831203,53.444034368264546,0.05506211490280033,0.02298970264954292,0.033294048320565484,2.9427415612545924,0.07748904294657533,-0.011934581967952274,-0.0725334228807688,97.18670076726342
1996-06-01,1.259,156.7,152.3,8467.1,-0.011448232350623089,0.053,92.4,11643.466841759684,,,2.054030647202723,53.54951601504402,0.027224680169434246,0.0043173532281266525,0.03639011970917272,1.4578684467375704,0.05506211490280033,0.031304890339300284,-0.04257052653019677,97.19208679004468
1996-07-01,1.228,157.0,152.8,8444.0,-0.012818848575322672,0.055,94.7,11794.502617801047,,,1.9996265753715499,53.72531875967647,0.034302177968627445,-0.002178653929791219,0.03129045653289042,1.842895445515661,0.027224680169434246,0.07748904294657533,-0.01995634027818427,97.32484076433123
1996-08-01,1.206,157.2,153.1,8464.7,-0.01690093708165996,0.051,95.3,12212.279555845853,,,1.9613041698473286,53.83080040645593,0.04453379375038247,0.018655890594255098,0.033162455754912834,2.397289762719113,0.034302177968627445,0.05506211490280033,-0.011934581967952274,97.39185750636132
1996-09-01,1.202,157.7,153.5,8483.9,-0.016739845831917455,0.052000000000000005,94.7,11024.755700325733,,,1.948601174170366,53.971442602161886,0.05034967669246315,-0.012984169498067244,0.03217996447429261,2.7174446856446832,0.04453379375038247,0.027224680169434246,0.031304890339300284,97.33671528218136
1996-10-01,1.204,158.2,154.2,8482.7,-0.01869779853235487,0.052000000000000005,96.5,11474.708171206226,,,1.9456745280235992,54.21756644464731,0.07472869226823864,0.02385713263989886,0.03090515774634217,4.05160783837483,0.05034967669246315,0.034302177968627445,0.07748904294657533,97.4715549936789
1996-11-01,1.232,158.7,154.7,8505.1,-0.022109372638884572,0.054000000000000006,99.2,11212.023270846801,,,1.9846501743331237,54.39336918927976,0.12352601231522131,0.05088667412242698,0.030858735834191853,6.718995992341351,0.07472869226823864,0.04453379375038247,0.05506211490280033,97.47952110901072
1996-12-01,1.235,159.1,155.0,8533.1,-0.018649757223142105,0.054000000000000006,96.9,11340.0,,,1.9844810836999793,54.49885083605924,0.11543926181409114,0.0014891368173812758,0.032900390979627936,6.291307110230942,0.12352601231522131,0.05034967669246315,0.027224680169434246,97.42300439974859
1997-01-01,1.236,159.4,155.3,8556.4,-0.008552932075541309,0.053,97.4,10624.597553122987,,,1.9823500188205772,54.604332482838714,0.10050993979717493,0.05754421117007391,0.03436854003215628,5.488278170515042,0.11543926181409114,0.07472869226823864,0.034302177968627445,97.42785445420327
1997-02-01,1.23,159.7,155.6,8579.2,-0.01115361148815408,0.052000000000000005,99.7,10547.557840616968,,,1.9690211490294305,54.709814129618174,0.09623588305207265,0.009851201160523182,0.02919935699033105,5.265047274378566,0.10050993979717493,0.12352601231522131,0.04453379375038247,97.43268628678773
1997-03-01,1.205,159.8,156.0,8619.0,-0.003733600317043173,0.052000000000000005,100.0,11787.179487179488,,,1.9277932598039218,54.85045632532414,0.031288561009088944,0.028936861879532705,0.030684970821773794,1.7161918491112729,0.09623588305207265,0.11543926181409114,0.05034967669246315,97.62202753441802
1997-04-01,1.199,159.9,156.2,8624.5,0.0015660294983010914,0.051,101.4,11605.633802816903,,,1.9169946680216805,54.920777423177114,-0.04914220860011509,0.037390380015944746,0.0376212132149476,-2.698928300610261,0.031288561009088944,0.10050993979717493,0.07472869226823864,97.68605378361474
1997-05-01,1.2,159.9,156.3,8661.9,-0.004497411561691145,0.049,103.2,12481.126039667304,,,1.9185934959349593,54.955937972103605,-0.08158561542278486,0.048834120980445705,0.02912033076703735,-4.483614020590464,-0.04914220860011509,0.09623588305207265,0.12352601231522131,97.74859287054409
1997-06-01,1.198,160.2,156.6,8689.7,0.0035423911545600095,0.05,104.5,11966.794380587484,,,1.9118089565126926,55.06141961888308,-0.06924029633331652,0.02776900928408832,0.026289993031852754,-3.8124690109445525,-0.08158561542278486,0.031288561009088944,0.11543926181409114,97.75280898876404
1997-07-01,1.174,160.4,157.1,8723.1,0.005472967474160928,0.049,107.1,12397.835773392744,,,1.8711728979634248,55.23722236351553,-0.0642388328852137,0.05115375994585025,0.033053055423969635,-3.548374696453263,-0.06924029633331652,-0.04914220860011509,0.10050993979717493,97.94264339152119
1997-08-01,1.224,160.8,157.4,8768.6,0.004860411706453904,0.048,104.4,12711.562897077509,,,1.9460122014925374,55.342704010294995,-0.00779683671196274,0.040883713720151205,0.035902040237693056,-0.4314980263667556,-0.0642388328852137,-0.08158561542278486,0.09623588305207265,97.88557213930348
1997-09-01,1.231,161.2,157.8,8791.5,0.009411361580232924,0.049,106.0,11515.209125475285,,,1.952284926075269,55.48334620600096,0.001890459655743415,0.04448655720643857,0.03625691014745591,0.10488902756808928,-0.00779683671196274,-0.06924029633331652,0.031288561009088944,97.8908188585608
1997-10-01,1.197,161.5,158.2,8834.8,0.012556016000674575,0.047,105.6,11883.05941845765,,,1.8948367941176472,55.62398840170692,-0.026128590971272403,0.035587070377624874,0.041508010421209995,-1.4533764411390002,0.001890459655743415,-0.0642388328852137,-0.04914220860011509,97.95665634674921
1997-11-01,1.171,161.7,158.6,8892.2,0.014423282003156679,0.046,107.2,11134.930643127365,,,1.8513863641517216,55.76463059741287,-0.06714725441534353,-0.006875889021733528,0.04551386814969849,-3.744441838102132,-0.026128590971272403,-0.00779683671196274,-0.08158561542278486,98.08286951144095
1997-12-01,1.131,161.8,159.0,8944.3,0.015660605068832156,0.047,102.1,11601.886792452831,,,1.7870399984548826,55.90527279311883,-0.09949255090755327,0.023094073408538973,0.048188817662982775,-5.562158199370028,-0.06714725441534353,0.001890459655743415,-0.06924029633331652,98.26946847960444
1998-01-01,1.086,162.0,159.2,9022.9,0.003442831715747996,0.046,106.6,10937.81407035176,,,1.7138191697530867,55.97559389097181,-0.13546086539614033,0.029480318257956606,0.0545205927726613,-7.582502389533947,-0.09949255090755327,-0.026128590971272403,-0.0642388328852137,98.2716049382716
1998-02-01,1.049,162.0,159.6,9081.2,0.011122286466933806,0.046,110.4,10704.887218045113,,,1.655429382201646,56.11623608667777,-0.15926277225735241,0.01491619006082101,0.05851361432301383,-8.937227327812383,-0.13546086539614033,-0.06714725441534353,-0.00779683671196274,98.51851851851852
1998-03-01,1.017,162.0,159.9,9134.4,0.008502538071066157,0.047,106.5,11878.048780487805,,,1.6049301064814814,56.22171773345725,-0.1674781005071463,0.007709163452304324,0.059798120431604485,-9.415906493248361,-0.15926277225735241,-0.09949255090755327,0.001890459655743415,98.70370370370371
1998-04-01,1.03,162.2,160.2,9164.1,0.00717208527707891,0.043,108.7,11830.83645443196,,,1.6234411888614881,56.327199380236706,-0.15313213127668046,0.019404597408578805,0.06256594585193342,-8.625504089942162,-0.1674781005071463,-0.13546086539614033,-0.026128590971272403,98.76695437731196
1998-05-01,1.064,162.6,160.6,9202.0,0.006558815464765333,0.044000000000000004,106.5,12648.81693648817,,,1.6729049733497336,56.46784157594267,-0.1280565805658056,0.013435558321253538,0.06235352520809534,-7.231078704146849,-0.15313213127668046,-0.15926277225735241,-0.06714725441534353,98.76998769987699
1998-06-01,1.064,162.8,160.7,9254.2,0.008426122315436269,0.045,105.6,12235.220908525203,,,1.6708498075348077,56.50300212486915,-0.12603725291538304,0.022430946784977035,0.0649619664660459,-7.121483169290558,-0.1280565805658056,-0.1674781005071463,-0.09949255090755327,98.7100737100737
1998-07-01,1.055,163.2,161.1,9270.0,0.00646212280935865,0.045,105.2,12548.10676598386,,,1.6526560993668302,56.64364432057511,-0.11678065604435972,0.012120743921581578,0.06269560133438801,-6.614881944500132,-0.12603725291538304,-0.15313213127668046,-0.13546086539614033,98.71323529411765
1998-08-01,1.026,163.4,161.5,9299.3,0.008393807954288679,0.045,104.4,12582.043343653251,,,1.6052604069767442,56.78428651628108,-0.17510259917920656,-0.010189113209205347,0.060522774445179284,-9.94307616153759,-0.11678065604435972,-0.1280565805658056,-0.15926277225735241,98.83720930232558
1998-09-01,1.009,163.5,162.1,9325.5,0.012136333017274792,0.046,100.9,11642.8130783467,,,1.5776969821610602,56.99524980984001,-0.1918715546645402,0.011081340467288259,0.06074048797133602,-10.935767189507843,-0.17510259917920656,-0.12603725291538304,-0.1674781005071463,99.14373088685015
1998-10-01,1.019,163.9,162.3,9337.5,0.003903982698439279,0.045,97.4,12344.423906346272,,,1.5894446761236525,57.065570907693,-0.1611706712377855,0.038825396023182135,0.05689998641734961,-9.197296367760325,-0.1918715546645402,-0.11678065604435972,-0.15313213127668046,99.02379499694936
1998-11-01,0.995,164.1,162.6,9374.6,0.0038773036828054774,0.044000000000000004,102.7,11445.264452644527,,,1.5501177356286817,57.17105255447247,-0.1627259627468829,0.02787029569049948,0.05424979195249757,-9.30321456817917,-0.1611706712377855,-0.17510259917920656,-0.1280565805658056,99.08592321755027
1998-12-01,0.945,164.4,163.0,9391.7,0.0031861090383635826,0.044000000000000004,100.5,12096.932515337423,,,1.4695358348540146,57.31169475017842,-0.1776704292435478,0.04266941504778554,0.050020683563834156,-10.182593406939386,-0.1627259627468829,-0.1918715546645402,-0.12603725291538304,99.14841849148418
1999-01-01,0.939,164.7,163.5,9444.1,0.0076713103884988865,0.043,103.9,11071.559633027524,,,1.457545693685489,57.48749749481088,-0.1495335567430487,0.012227814608615217,0.04668122222345383,-8.596309968656172,-0.1776704292435478,-0.1611706712377855,-0.11678065604435972,99.27140255009108
