date,trips
2021-08-12,132934
2021-08-13,161067
2021-08-14,181682
2021-08-15,136545
2021-08-16,108365
2021-08-17,111443
2021-08-18,123968
2021-08-19,139131
2021-08-20,174882
2021-08-21,187502
2021-08-22,138337
2021-08-23,105083
2021-08-24,119258
2021-08-25,129457
2021-08-26,138113
2021-08-27,172654
2021-08-28,201689
2021-08-29,142345
2021-08-30,107965
2021-08-31,101184
2021-09-01,115874
2021-09-02,132083
2021-09-03,167349
2021-09-04,201028
2021-09-05,172735
2021-09-06,114867
2021-09-07,104737
2021-09-08,110735
2021-09-09,125186
2021-09-10,170878
2021-09-11,204691
2021-09-12,157572
2021-09-13,117748
2021-09-14,120118
2021-09-15,128534
2021-09-16,135349
2021-09-17,176889
2021-09-18,209283
2021-09-19,159170
2021-09-20,115692
2021-09-21,117864
2021-09-22,130390
2021-09-23,142614
2021-09-24,182448
2021-09-25,206920
2021-09-26,149237
2021-09-27,112051
2021-09-28,110885
2021-09-29,123760
2021-09-30,126586
2021-10-01,188271
2021-10-02,224973
2021-10-03,166256
2021-10-04,127459
2021-10-05,131977
2021-10-06,141197
2021-10-07,161899
2021-10-08,195452
2021-10-09,223979
2021-10-10,158637
2021-10-11,128876
2021-10-12,130753
2021-10-13,138472
2021-10-14,155263
2021-10-15,195592
2021-10-16,227804
2021-10-17,170712
2021-10-18,128908
2021-10-19,131834
2021-10-20,137696
2021-10-21,161753
2021-10-22,197889
2021-10-23,230541
2021-10-24,177909
2021-10-25,133823
2021-10-26,133330
2021-10-27,141026
2021-10-28,165871
2021-10-29,218262
2021-10-30,252532
2021-10-31,182346
2021-11-01,132719
2021-11-02,127322
2021-11-03,141273
2021-11-04,159915
2021-11-05,197621
2021-11-06,226875
2021-11-07,165783
2021-11-08,128598
2021-11-09,132625
2021-11-10,147327
2021-11-11,167115
2021-11-12,209787
2021-11-13,246876
2021-11-14,175216
2021-11-15,141822
2021-11-16,144258
2021-11-17,156551
2021-11-18,177322
2021-11-19,207895
2021-11-20,228998
2021-11-21,173955
2021-11-22,136648
2021-11-23,140664
2021-11-24,159988
2021-11-25,114536
2021-11-26,146249
2021-11-27,181573
2021-11-28,143437
2021-11-29,143138
2021-11-30,130258
2021-12-01,153381
2021-12-02,168624
2021-12-03,215351
2021-12-04,253597
2021-12-05,187496
