Market,Volume,date
other,243555,2025-02-17
other,229385,2025-05-05
F1,228229,2025-05-19
other,225574,2025-05-12
other,210379,2025-06-09
other,205927,2025-03-03
F1,200873,2025-05-12
UFC,194510,2025-05-26
Hockey,189019,2025-09-22
F1,183666,2025-05-26
F1,181455,2025-04-14
American Football,179757,2025-03-10
Golf,177747,2025-04-21
other,175921,2025-08-04
Golf,172686,2025-08-25
Football,171625,2025-02-24
American Football,169088,2025-06-02
MLB,168681,2025-04-07
F1,168261,2025-06-09
other,163845,2025-08-25
MLB,163276,2025-03-31
Boxing,160429,2025-04-28
other,152276,2025-08-18
American Football,147852,2025-06-16
Tennis,146376,2025-02-24
F1,145818,2025-06-23
other,141068,2025-02-03
American Football,140200,2025-02-10
other,138262,2025-08-11
American Football,137506,2025-06-09
other,137010,2025-07-21
other,137009,2025-04-21
F1,129829,2025-04-07
Football,126991,2025-06-02
MLB,118743,2025-03-24
Tennis,116958,2025-04-21
Football,116430,2025-04-21
American Football,107145,2025-05-26
other,104395,2025-04-28
Hockey,100790,2025-02-10
UFC,100574,2025-02-03
American Football,99274,2025-02-17
American Football,98192,2025-02-24
Golf,96677,2025-06-09
American Football,87412,2025-04-28
F1,84417,2025-03-17
Football,84141,2025-03-17
Football,83464,2025-02-03
Boxing,82945,2025-10-27
American Football,82923,2025-05-19
F1,81601,2025-03-31
American Football,80082,2025-05-12
Football,79004,2025-03-31
Hockey,78622,2025-01-20
other,77125,2025-02-24
MLB,74725,2025-02-17
American Football,71438,2025-04-14
American Football,66784,2025-05-05
Golf,66663,2025-02-10
Tennis,60977,2025-02-17
F1,58718,2025-10-06
Football,58190,2025-03-24
Hockey,54601,2025-04-07
other,54345,2025-03-31
Hockey,51950,2025-03-31
other,51491,2025-04-14
Boxing,51488,2025-11-24
Boxing,50615,2025-11-03
American Football,50397,2025-03-03
F1,50362,2025-03-10
Hockey,49993,2025-02-24
Hockey,49777,2025-03-10
MLB,49119,2025-02-24
Boxing,47934,2025-11-17
American Football,45365,2025-04-21
American Football,45360,2025-03-31
Golf,44766,2025-10-13
F1,44340,2025-09-22
MLB,42005,2025-02-10
Hockey,41263,2025-03-24
Tennis,39669,2025-02-10
Tennis,36568,2025-04-14
MLB,35788,2025-03-03
American Football,35543,2025-03-17
MLB,32924,2025-03-10
Hockey,28819,2025-01-27
F1,28421,2025-08-11
MLB,28107,2025-03-17
American Football,27635,2025-04-07
Hockey,26245,2025-03-17
American Football,25354,2025-03-24
other,24553,2025-04-07
Hockey,24441,2025-02-03
other,24175,2025-05-26
F1,23682,2025-03-03
F1,23675,2025-05-05
Tennis,20945,2025-03-17
F1,18766,2025-03-24
Football,18726,2025-07-28
F1,18247,2025-04-21
Golf,16111,2025-02-03
Boxing,15963,2025-06-16
other,13607,2025-03-24
F1,13471,2025-07-14
F1,12490,2025-06-16
F1,12418,2025-09-08
other,10635,2025-03-17
Boxing,10452,2025-10-20
F1,9988,2025-07-07
F1,9356,2025-02-10
Tennis,9046,2025-03-03
Tennis,8540,2025-03-31
Racing,8119,2025-05-12
Esports,7990,2025-10-06
F1,7930,2025-02-24
F1,7486,2025-02-17
Esports,6964,2025-09-29
Esports,6821,2025-06-30
Esports,5780,2025-09-22
Football,5654,2025-01-27
UFC,5623,2025-03-31
Racing,5407,2025-05-05
PRES,5335,2025-11-10
UFC,5303,2025-08-25
Esports,5216,2025-07-07
F1,5113,2025-06-02
Esports,4945,2025-09-08
F1,4857,2025-08-04
UFC,4521,2025-09-15
PRES,4449,2025-03-31
MLB,4278,2025-11-17
PRES,4251,2025-09-29
PRES,4161,2025-11-17
Tennis,4155,2025-02-03
PRES,3921,2025-10-06
F1,3587,2025-08-18
Esports,2915,2025-08-25
Esports,2270,2025-04-21
Esports,2233,2025-04-07
Esports,2172,2025-06-23
PRES,2101,2025-04-07
UFC,2086,2025-05-19
Tennis,2015,2025-01-27
UFC,1959,2025-11-24
Esports,1951,2025-02-03
Esports,1874,2025-09-15
PRES,1769,2025-04-14
Esports,1567,2025-02-17
Esports,1561,2025-02-24
PRES,1401,2025-10-13
Esports,1384,2025-05-26
Esports,1342,2025-08-18
PRES,1308,2025-11-24
PRES,1266,2025-03-24
PRES,1250,2025-10-20
PRES,1238,2025-09-15
Esports,1148,2025-06-09
Esports,1113,2025-05-19
Esports,1109,2025-04-28
Esports,1102,2025-09-01
Esports,1040,2025-06-02
Esports,1032,2025-07-28
Esports,1026,2025-03-24
PRES,1007,2025-10-27
Esports,992,2025-04-14
MLB,966,2025-11-24
Esports,904,2025-03-10
Esports,833,2025-02-10
PRES,794,2025-09-22
Esports,793,2025-08-11
Esports,669,2025-07-14
Esports,641,2025-06-16
Basketball,637,2024-12-30
Esports,617,2025-03-31
PRES,607,2025-08-25
Esports,579,2025-07-21
PRES,573,2025-09-08
PRES,532,2025-09-01
Esports,467,2025-03-03
Golf,434,2025-01-27
Esports,407,2025-01-27
PRES,379,2025-11-03
Basketball,184,2024-12-16
Esports,156,2025-08-04
Basketball,102,2025-01-06
Esports,86,2025-03-17
Esports,19,2025-05-05
UFC,18,2025-03-24
Basketball,18,2025-01-13
Esports,15,2025-05-12
Racing,0,2025-08-11
Eating,0,2025-09-01
Boxing,0,2025-08-25
Racing,0,2025-09-01
PRES,0,2025-05-05
Racing,0,2025-09-08
Boxing,0,2025-05-19
Eating,0,2025-07-21
PRES,0,2025-05-12
Hockey,0,2025-07-21
Eating,0,2025-09-15
Racing,0,2025-09-22
Hockey,0,2025-07-28
UFC,0,2025-03-10
Eating,0,2025-10-06
PRES,0,2025-08-11
Boxing,0,2025-09-15
Racing,0,2025-06-09
Hockey,0,2025-06-30
PRES,0,2025-05-19
PRES,0,2025-06-02
Eating,0,2025-11-17
PRES,0,2025-06-23
Hockey,0,2025-09-15
PRES,0,2025-07-28
Esports,0,2025-11-24
Eating,0,2025-08-04
Boxing,0,2025-07-14
Eating,0,2025-10-20
Racing,0,2025-11-24
Racing,0,2025-05-26
Racing,0,2025-08-18
Racing,0,2025-07-28
Racing,0,2025-11-17
Boxing,0,2025-05-26
Eating,0,2025-07-07
Eating,0,2025-11-24
Boxing,0,2025-06-09
Boxing,0,2025-07-21
Eating,0,2025-08-18
Racing,0,2025-10-13
PRES,0,2025-07-14
Racing,0,2025-06-30
Boxing,0,2025-10-06
Racing,0,2025-06-16
UFC,0,2025-02-24
UFC,0,2025-03-17
Boxing,0,2025-09-29
UFC,0,2025-04-14
PRES,0,2025-06-09
Esports,0,2025-11-10
Hockey,0,2025-07-14
PRES,0,2025-05-26
Hockey,0,2025-08-04
Racing,0,2025-07-07
Hockey,0,2025-09-01
Racing,0,2025-10-06
PRES,0,2025-07-07
Boxing,0,2025-06-02
Tennis,0,2025-11-17
Racing,0,2025-06-02
Racing,0,2025-10-20
Racing,0,2025-06-23
PRES,0,2025-04-21
UFC,0,2025-02-10
Eating,0,2025-10-13
UFC,0,2025-04-21
Racing,0,2025-07-14
UFC,0,2025-04-28
Eating,0,2025-08-25
Racing,0,2025-09-15
Eating,0,2025-09-29
Boxing,0,2025-05-12
Racing,0,2025-10-27
Racing,0,2025-08-04
Racing,0,2025-08-25
UFC,0,2025-02-17
Eating,0,2025-07-28
Eating,0,2025-10-27
Hockey,0,2025-07-07
PRES,0,2025-07-21
PRES,0,2025-08-18
Eating,0,2025-07-14
Boxing,0,2025-08-18
Eating,0,2025-11-10
Tennis,0,2025-11-24
Hockey,0,2025-06-23
Hockey,0,2025-08-25
Eating,0,2025-08-11
Eating,0,2025-11-03
Racing,0,2025-09-29
Boxing,0,2025-11-10
Boxing,0,2025-09-22
Boxing,0,2025-05-05
Racing,0,2025-11-03
Boxing,0,2025-07-07
PRES,0,2025-04-28
Boxing,0,2025-06-30
UFC,0,2025-06-30
Esports,0,2025-11-17
Hockey,0,2025-09-08
Boxing,0,2025-07-28
Hockey,0,2025-08-11
Racing,0,2025-11-10
Eating,0,2025-09-22
Hockey,0,2025-08-18
PRES,0,2025-06-16
Boxing,0,2025-09-01
Boxing,0,2025-10-13
Boxing,0,2025-08-04
Racing,0,2025-07-21
Basketball,0,2024-12-23
other,0,2025-01-27
PRES,0,2025-06-30
Eating,0,2025-09-08
PRES,0,2025-08-04
Boxing,0,2025-08-11
