Category,Chain Name,2024 U.S. Sales ($000),Market_Share_in_Category_%,2024 U.S. Units
Other Beverage/Snack,Smoothie King,763000,9.293544457978076,1201
Other Beverage/Snack,Krispy Kreme,748000,9.110840438489646,361
Other Beverage/Snack,Jamba,484000,5.895249695493301,727
Other Beverage/Snack,Shipley Do-Nuts,320000,3.8976857490864796,366
Other Beverage/Snack,Wetzel's Pretzels,286000,3.4835566382460414,425
Other Beverage/Snack,Cinnabon,285000,3.4713763702801463,1034
Other Beverage/Snack,85C Bakery Cafe,263000,3.203410475030451,80
Other Beverage/Snack,Insomnia Cookies,245000,2.9841656516443362,302
Other Beverage/Snack,Kung Fu Tea,211000,2.5700365408038977,412
Other Beverage/Snack,Nekter Juice Bar,163000,1.9853836784409256,215
Other Beverage/Snack,Great American Cookies,159000,1.9366626065773447,397
Other Beverage/Snack,HTeaO,0,0.0,0
Other Beverage/Snack,Swig,0,0.0,0
Other Beverage/Snack,Gong Cha,0,0.0,0
Other Beverage/Snack,Sharetea,0,0.0,0
Other Beverage/Snack,Clean Juice,0,0.0,0
Other Beverage/Snack,Red Ribbon Bakeshop,0,0.0,0
Other Beverage/Snack,Duck Donuts,0,0.0,0
Other Beverage/Snack,Yum Yum Donut Shops,0,0.0,0
Other Beverage/Snack,Daylight Donuts,0,0.0,0
Other Beverage/Snack,Philly Pretzel Factory,0,0.0,0
Other Beverage/Snack,Smallcakes Cupcakery,0,0.0,0
Other Beverage/Snack,Pretzelmaker,0,0.0,0
Pizza,Domino's,9500000,32.32391970057843,7014
Pizza,Pizza Hut,5550000,18.88397414086424,6557
Pizza,Little Caesars,4420000,15.039128955427017,4285
Pizza,Papa Johns,3663000,12.4634229329704,3291
Pizza,Marco's Pizza,1051000,3.5760462742429397,1162
Pizza,Papa Murphy's Pizza,728000,2.4770330044232733,1049
Pizza,MOD Pizza,583000,1.9836679142565496,485
Pizza,Jet's Pizza,550000,1.87138482477033,450
Pizza,Hungry Howie's Pizza,436000,1.4834977883633889,509
Pizza,Round Table Pizza,416000,1.4154474310990133,391
Pizza,Chuck E. Cheese,412000,1.4018373596461382,472
Pizza,Pizza Ranch,362000,1.231711466485199,218
Pizza,Mountain Mike's Pizza,361000,1.2283089486219803,299
Pizza,Blaze Pizza,357000,1.214698877169105,265
Pizza,Godfather's Pizza,263000,0.8948621980265397,595
Pizza,Sbarro,257000,0.8744470908472268,375
Pizza,Cicis,254000,0.8642395372575705,269
Pizza,Donatos Pizza,227000,0.7723715549506635,176
Pizza,&pizza,0,0.0,0
Pizza,Pizza Guys,0,0.0,0
Pizza,Toppers Pizza,0,0.0,0
Pizza,Mr. Gatti's Pizza,0,0.0,0
Pizza,Ledo Pizza,0,0.0,0
Pizza,Simple Simon's Pizza,0,0.0,0
Pizza,Pizza Factory,0,0.0,0
Pizza,Pizza Inn,0,0.0,0
Pizza,Rosati's Pizza,0,0.0,0
Pizza,Peter Piper Pizza,0,0.0,0
Pizza,Imo's Pizza,0,0.0,0
Pizza,Fox's Pizza Den,0,0.0,0
Pizza,Mazzio's Italian Eatery,0,0.0,0
Pizza,Shakey's Pizza Parlor,0,0.0,0
Pizza,Papa Gino's Pizzeria,0,0.0,0
Pizza,Pieology Pizzeria,0,0.0,0
Sandwich,Subway,9511000,27.23420095638977,19502
Sandwich,Panera Bread,6126000,17.541448329181343,2216
Sandwich,Arby's,4325000,12.384388511868968,3365
Sandwich,Jersey Mike's Subs,3731000,10.683503708157946,2997
Sandwich,Jimmy John's,2599000,7.442086876843342,2689
Sandwich,Firehouse Subs,1153000,3.301549122354895,1233
Sandwich,McAlister's Deli,1018000,2.9149843942387537,560
Sandwich,Charleys Cheesesteaks,745000,2.1332646107150013,813
